"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.0","","","","1"
"1977","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.6","","","","1"
"1978","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.9","","","","1"
"1979","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.1","","","","1"
"1980","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.7","","","","1"
"1981","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.0","","","","1"
"1982","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.2","","","","1"
"1983","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.9","","","","1"
"1984","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.0","","","","1"
"1985","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.1","","","","1"
"1986","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.6","","","","1"
"1987","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.5","","","","1"
"1988","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.1","","","","1"
"1989","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","10.5","","","","1"
"1990","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.7","","","","1"
"1991","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.5","","","","1"
"1992","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.8","","","","1"
"1993","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.9","A","","","1"
"1994","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","11.8","A","","","1"
"1995","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.1","A","","","1"
"1996","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.7","A","","","1"
"1997","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.7","A","","","1"
"1998","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.9","B","","","1"
"1999","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.4","A","","","1"
"2000","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.8","B","","","1"
"2001","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.5","B","","","1"
"2002","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","12.9","B","","","1"
"2003","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.2","B","","","1"
"2004","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.4","B","","","1"
"2005","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.0","B","","","1"
"2006","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.4","A","","","1"
"2007","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.3","B","","","1"
"2008","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.4","A","","","1"
"2009","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.7","B","","","1"
"2010","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.5","B","","","1"
"2011","Canada","2016A000011124","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96515826","1.1.1.2","13.3","B","","","1"
