"REF_DATE","GEO","DGUID","Farm land and buildings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","257","","","","0"
"1977","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","296","","","","0"
"1978","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","351","","","","0"
"1979","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","434","","","","0"
"1980","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1981","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","615","","","","0"
"1982","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","614","","","","0"
"1983","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","586","","","","0"
"1984","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","558","","","","0"
"1985","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","517","","","","0"
"1986","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","478","","","","0"
"1987","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","456","","","","0"
"1988","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","464","","","","0"
"1989","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","518","","","","0"
"1990","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1991","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","560","","","","0"
"1992","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1993","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1994","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","584","","","","0"
"1995","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","634","","","","0"
"1996","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","689","","","","0"
"1997","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","758","","","","0"
"1998","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","796","","","","0"
"1999","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","822","","","","0"
"2000","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","844","","","","0"
"2001","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","862","","","","0"
"2002","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","918","","","","0"
"2003","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","976","","","","0"
"2004","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1038","","","","0"
"2005","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1107","","","","0"
"2006","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1184","","","","0"
"2007","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1271","","","","0"
"2008","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1421","","","","0"
"2009","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1512","","","","0"
"2010","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1608","","","","0"
"2011","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1724","","","","0"
"2012","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1899","","","","0"
"2013","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2170","","","","0"
"2014","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2367","","","","0"
"2015","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2550","","","","0"
"2016","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2696","","","","0"
"2017","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2903","","","","0"
"2018","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3072","","","","0"
"2019","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3245","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","735","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","720","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","800","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1035","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1133","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1027","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","998","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","938","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","868","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","914","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","964","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1016","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1071","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1136","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1150","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1164","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1203","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1243","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1286","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1318","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1359","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1397","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1426","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1455","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1539","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1627","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1720","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1854","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2019","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2216","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2317","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2557","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2688","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2811","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2859","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2908","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3011","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3178","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3416","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3597","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","4332","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","5022","","","","0"
"1976","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","298","","","","0"
"1977","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","327","","","","0"
"1978","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","401","","","","0"
"1979","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","518","","","","0"
"1980","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","584","","","","0"
"1981","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","685","","","","0"
"1982","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","655","","","","0"
"1983","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","695","","","","0"
"1984","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","702","","","","0"
"1985","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","745","","","","0"
"1986","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","727","","","","0"
"1987","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","747","","","","0"
"1988","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","767","","","","0"
