"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.33","","","","2"
"2017-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.82","","","","2"
"2017-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.64","","","","2"
"2017-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.59","","","","2"
"2017-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.79","","","","2"
"2017-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.74","","","","2"
"2017-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.89","","","","2"
"2017-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.20","","","","2"
"2017-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.36","","","","2"
"2017-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.26","","","","2"
"2017-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.64","","","","2"
"2017-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.56","","","","2"
"2018-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.42","","","","2"
"2018-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.10","","","","2"
"2018-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.69","","","","2"
"2018-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.93","","","","2"
"2018-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.65","","","","2"
"2018-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.17","","","","2"
"2018-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.99","","","","2"
"2018-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.16","","","","2"
"2018-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","10.95","","","","2"
"2018-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.35","","","","2"
"2018-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.03","","","","2"
"2018-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.23","","","","2"
"2019-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.14","","","","2"
"2019-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.32","","","","2"
"2019-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.85","","","","2"
"2019-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.08","","","","2"
"2019-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.63","","","","2"
"2019-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.97","","","","2"
"2019-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.38","","","","2"
"2019-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.95","","","","2"
"2019-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.19","","","","2"
"2019-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","11.34","","","","2"
"2019-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.18","","","","2"
"2019-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.70","","","","2"
"2020-01","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","12.81","","","","2"
"2020-02","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.19","","","","2"
"2020-03","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.79","","","","2"
"2020-04","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","14.38","","","","2"
"2020-05","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.44","","","","2"
"2020-06","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","17.25","","","","2"
"2020-07","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","16.69","","","","2"
"2020-08","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.40","","","","2"
"2020-09","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.24","","","","2"
"2020-10","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.04","","","","2"
"2020-11","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","15.00","","","","2"
"2020-12","Prince Edward Island","2016A000211","Beef stewing cuts, per kilogram","Dollars","81","units","0","v1159447015","2.1","13.47","","","","2"
"2017-01","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","17.08","","","","2"
"2017-02","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","16.58","","","","2"
"2017-03","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","23.83","","","","2"
"2017-04","Prince Edward Island","2016A000211","Beef striploin cuts, per kilogram","Dollars","81","units","0","v1159447016","2.2","21.34","","","","2"
